date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:42:05	250/250	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:42:07%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_efarmogi_1/geogebra.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_efarmogi_1/geogebra.148.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:05	2791/2791	U-----	200	untouched ('OK')	text/html	etag:%22980659-ae7-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_a/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_a/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:06	256/256	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:42:07%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_a/ScratchApplet.class	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_a/ScratchApplet.14c.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:06	2985/2985	U-----	200	untouched ('OK')	text/html	etag:%22980661-ba9-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_b/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_b/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:07	256/256	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:42:08%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_b/ScratchApplet.class	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_3_b/ScratchApplet.150.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:07	69233/69233	U-----	200	untouched ('OK')	text/html	etag:%229801cf-10e71-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_5/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_5/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:07	248/248	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:42:09%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_5/geogebra.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_5/geogebra.153.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:07	19497/19497	U-----	200	untouched ('OK')	text/html	etag:%229801c9-4c29-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_6/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_6/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:08	248/248	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Nov%202012%2015:42:09%20GMT	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_6/geogebra.jar	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/GeoGebra/kefa1_5_askisi_6/geogebra.156.delayed	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
17:42:08	3279/3279	U-----	200	untouched ('OK')	text/html	etag:%22980669-ccf-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_7/index.html	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/extras/Experiments-Simulations/Scratch/kefa1_5_askisi_7/index.html	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10906/)
