date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:02	27624/27624	---M--	200	added ('OK')	image/jpeg	etag:%229628de-6be8-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/images/imgA500-01.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/images/imgA500-01.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10929/)
17:15:04	71452/71452	---M--	200	added ('OK')	image/jpeg	etag:%2298068b-1171c-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_2/images/espa-itye.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_2/images/espa-itye.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10927/extras/Experiments-Simulations/Turtleworld/Kefa4_2_drastiriotita_2/index.html)
17:15:09	38342/38342	---M--	200	added ('OK')	image/jpeg	etag:%229628d9-95c6-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/images/imgA500-03.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10930/images/imgA500-03.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10929/)
17:15:10	26803/26803	---M--	200	added ('OK')	image/jpeg	etag:%22980297-68b3-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_3/images/dsch-ypdbm.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_3/images/dsch-ypdbm.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_3/index.html)
17:15:11	229888/229888	---M--	200	added ('OK')	image/jpeg	etag:%2298068e-38200-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/Kefa4_3_paradeigma_3.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/Kefa4_3_paradeigma_3.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/)
17:15:12	10647/10647	---M--	200	added ('OK')	image/png	etag:%22980298-2997-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_3/images/cc.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_3/images/cc.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_3/index.html)
17:15:16	26803/26803	---M--	200	added ('OK')	image/jpeg	etag:%22980691-68b3-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/images/dsch-ypdbm.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/images/dsch-ypdbm.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/index.html)
17:15:18	10647/10647	---M--	200	added ('OK')	image/png	etag:%22980693-2997-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/images/cc.png	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/images/cc.png	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Turtleworld/Kefa4_3_paradeigma_3/index.html)
17:15:21	71452/71452	---M--	200	added ('OK')	image/jpeg	etag:%22980296-1171c-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_3/images/espa-itye.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_3/images/espa-itye.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_3/index.html)
17:15:23	26803/26803	---M--	200	added ('OK')	image/jpeg	etag:%2298028a-68b3-0%22	http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_4/images/dsch-ypdbm.jpg	/var/www/moodle/uploads/book_A/digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_4/images/dsch-ypdbm.jpg	(from http://digitalschool.minedu.gov.gr/modules/ebook/show.php/DSGYM-A200/426/2866,10928/extras/Experiments-Simulations/Geogebra/kefa4_3_paradeigma_4/index.html)
